PTIME,speed_kmh,accel_long,accel_lat,throttle_pct,steering_deg,engine_rpm,brake_active,abs_esc_active,CASEID,VEHNO,crash_class,CRASHTYPE,DVTOTAL,DVLONG,DVLAT,SURFCOND,LIGHTCOND,WEATHER,MODELYR,source_year,event_id,source,is_crash
-0.5,89.033,45.0,0.0,1.0,,,1088.0,,20341,1,1.0,8.0,999.0,999.0,999.0,1.0,2.0,1.0,2019,2021,CISS_2021_20341_V1,CISS,True
-5.0,43.953,,0.0,1.0,,,1279.0,-14.0,20357,1,3.0,69.0,999.0,999.0,999.0,1.0,2.0,1.0,2018,2021,CISS_2021_20357_V1,CISS,True
-4.9,43.87841634902096,,-0.05550257643421492,0.9928601855032636,,,1279.0,-14.0,20357,1,3.0,69.0,999.0,999.0,999.0,1.0,2.0,1.0,2018,2021,CISS_2021_20357_V1,CISS,True
-4.8,43.62386179869461,,-0.07400343524562006,0.9904802473376848,,,1279.0,-14.0,20357,1,3.0,69.0,999.0,999.0,999.0,1.0,2.0,1.0,2018,2021,CISS_2021_20357_V1,CISS,True
-4.7,43.21339907385779,,-0.06475300583991758,0.9916702164204743,,,1279.0,-14.0,20357,1,3.0,69.0,999.0,999.0,999.0,1.0,2.0,1.0,2018,2021,CISS_2021_20357_V1,CISS,True
-4.6,42.671090899347305,,-0.03700171762280993,0.9952401236688424,,,1279.0,-14.0,20357,1,3.0,69.0,999.0,999.0,999.0,1.0,2.0,1.0,2018,2021,CISS_2021_20357_V1,CISS,True
-4.5,42.021,,-6.938893903907228e-18,0.9999999999999999,,,1276.0,-7.0,20357,1,3.0,69.0,999.0,999.0,999.0,1.0,2.0,1.0,2018,2021,CISS_2021_20357_V1,CISS,True
-4.4,41.287189100652704,,0.037001717622809904,1.0047598763311576,,,1276.0,-7.0,20357,1,3.0,69.0,999.0,999.0,999.0,1.0,2.0,1.0,2018,2021,CISS_2021_20357_V1,CISS,True
-4.3,40.493720926142224,,0.06475300583991754,1.008329783579526,,,1276.0,-7.0,20357,1,3.0,69.0,999.0,999.0,999.0,1.0,2.0,1.0,2018,2021,CISS_2021_20357_V1,CISS,True
-4.2,39.66465820130539,,0.07400343524562003,1.0095197526623152,,,1276.0,-7.0,20357,1,3.0,69.0,999.0,999.0,999.0,1.0,2.0,1.0,2018,2021,CISS_2021_20357_V1,CISS,True
-4.1,38.82406365097904,,0.05550257643421483,1.0071398144967365,,,1276.0,-7.0,20357,1,3.0,69.0,999.0,999.0,999.0,1.0,2.0,1.0,2018,2021,CISS_2021_20357_V1,CISS,True
-4.0,37.995999999999995,,-5.551115123125783e-17,1.0,,,1257.0,-1.5,20357,1,3.0,69.0,999.0,999.0,999.0,1.0,2.0,1.0,2018,2021,CISS_2021_20357_V1,CISS,True
-3.9,37.19721124836826,,-0.09250429405702527,0.9881003091721057,,,1257.0,-1.5,20357,1,3.0,69.0,999.0,999.0,999.0,1.0,2.0,1.0,2018,2021,CISS_2021_20357_V1,CISS,True
-3.8,36.41516649673652,,-0.18500858811405038,0.9762006183442117,,,1257.0,-1.5,20357,1,3.0,69.0,999.0,999.0,999.0,1.0,2.0,1.0,2018,2021,CISS_2021_20357_V1,CISS,True
