CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EDRSUMMNO,EDREVENTNO,PCODE,PTIME,PVALUE,CASEWGT,PSUSTRAT,VERSION
14494,12,47,1-12-2019-047-01,1,1,1,1,1060,-4.2000,0.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1070,-4.2000,1.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1080,-4.2000,-1.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1030,-4.1000,0.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1020,-4.1000,99996.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1040,-4.1000,0.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1050,-4.1000,1316.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1060,-4.1000,0.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1070,-4.1000,1.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1080,-4.1000,-2.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1030,-4.0000,0.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1020,-4.0000,99996.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1040,-4.0000,0.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1050,-4.0000,1301.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1060,-4.0000,0.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1070,-4.0000,1.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1080,-4.0000,-2.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1030,-3.9000,0.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1020,-3.9000,99996.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1040,-3.9000,0.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1050,-3.9000,1306.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1060,-3.9000,0.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1070,-3.9000,1.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1080,-3.9000,-4.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1030,-3.8000,0.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1020,-3.8000,99996.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1040,-3.8000,0.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1050,-3.8000,1311.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1060,-3.8000,0.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1070,-3.8000,1.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1080,-3.8000,-5.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1030,-3.7000,0.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1020,-3.7000,99996.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1040,-3.7000,0.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1050,-3.7000,1308.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1060,-3.7000,0.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1070,-3.7000,1.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1080,-3.7000,-5.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1030,-3.6000,0.0000,353.331729164077,9,4
