CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,LFOH,LFBC,WBLEFT,LRBC,LROH,RFOH,RFBC,WBRIGHT,RRBC,RROH,FRNTBUMP,REARBUMP,FRNTHOOD,FRNTWIND,FRNTPILL,BACKTRUNK,BACKLIGHT,BACKBPILL,SIDEDOOR,SIDEGLAZ,SIDEROOF,VERTROOF,VERTGLAZ,VERTDOOR,BACKPICKUP,PBED,CASEWGT,PSUSTRAT,VERSION
2402897,21,59,1-21-2024-059-04,4,2,887,887,887,887,887,887,887,298,887,887,887,30,127,887,887,12,24,174,887,887,111,887,45,88,887,887,924.169152788539,11,9
2402898,20,81,1-20-2024-081-03,3,1,887,887,887,887,887,887,887,887,887,887,999,887,115,887,887,49,887,887,999,999,109,887,33,79,887,887,81.8606256970461,11,9
2402851,11,79,1-11-2024-079-08,8,2,887,887,887,887,887,887,887,244,887,887,36,39,126,999,999,887,887,887,887,887,887,887,887,887,887,887,137.396448535388,8,9
2402896,11,81,1-11-2024-081-03,3,1,887,887,887,887,887,887,887,887,887,887,999,887,114,887,887,887,887,170,887,887,107,887,38,89,887,887,171.808727202705,8,9
2402896,11,81,1-11-2024-081-03,3,2,887,887,887,887,887,887,887,887,887,887,999,887,117,887,887,887,887,887,887,887,887,887,887,887,887,887,171.808727202705,8,9
2402774,82,69,1-82-2024-069-04,4,2,887,887,887,887,887,999,999,999,999,999,887,887,137,887,887,84,887,887,999,999,119,887,30,85,887,887,193.441668494855,1,9
2402901,12,47,1-12-2024-047-02,2,1,887,887,887,887,887,887,887,887,887,887,999,887,122,999,999,887,887,174,18,23,97,999,40,90,887,887,228.584675358371,9,9
2402899,29,23,1-29-2024-023-02,2,2,887,887,999,887,887,887,887,999,887,887,999,887,115,999,999,999,999,887,887,887,887,887,887,887,887,887,50.8221709046122,2,9
2402887,15,113,1-15-2024-113-03,3,1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,887,887,887,999,999,999,999,999,999,887,887,15.0688068346335,1,9
2402900,29,24,1-29-2024-024-06,6,2,887,887,282,887,887,887,887,282,887,887,36,38,148,74,50,55,887,887,10,12,111,7,38,81,887,887,8936.26100192052,2,9
2403283,59,104,1-59-2024-104-07,7,1,94,999,256,999,77,94,999,235,999,77,35,887,111,999,999,887,887,887,10,10,137,887,887,887,887,887,584.797835219332,6,9
2403284,59,105,1-59-2024-105-04,4,1,887,887,887,887,887,887,887,887,887,887,40,887,140,999,999,887,887,887,887,887,887,887,887,887,887,887,177.015010442225,6,9
2403284,59,105,1-59-2024-105-04,4,2,95,999,442,999,118,887,887,424,887,887,887,887,887,887,887,887,887,887,14,12,150,887,887,887,887,247,177.015010442225,6,9
2403293,73,94,1-73-2024-094-07,7,1,887,887,418,887,887,887,887,418,887,887,43,887,121,999,999,887,887,887,887,887,133,887,46,94,359,200,46.0859335695799,3,9
2403295,77,111,1-77-2024-111-05,5,1,887,887,302,887,887,887,887,302,887,887,50,54,106,887,887,887,887,207,12,28,114,7,41,89,887,887,90.6570748528622,9,9
2403285,81,73,1-81-2024-073-01,1,1,887,887,380,887,887,887,887,380,887,887,999,999,140,999,999,887,887,887,11,8,135,999,45,97,331,999,82.1455309731661,8,9
2403295,77,111,1-77-2024-111-05,5,2,887,887,887,887,887,887,887,887,887,887,44,887,128,887,887,45,887,887,887,887,113,887,32,79,887,887,90.6570748528622,9,9
2403285,81,73,1-81-2024-073-01,1,2,999,32,229,999,999,999,32,232,999,999,999,999,128,999,999,66,999,999,999,999,119,999,34,75,887,887,82.1455309731661,8,9
2403289,62,87,1-62-2024-087-02,2,1,887,887,887,887,887,887,887,887,887,887,999,887,999,999,999,887,887,887,887,887,887,887,887,887,887,887,27.4104501869369,7,9
2403285,81,73,1-81-2024-073-01,1,3,887,887,887,999,999,887,887,887,999,999,999,999,887,887,887,999,999,190,887,887,887,887,887,887,887,887,82.1455309731661,8,9
2403285,81,73,1-81-2024-073-01,1,4,887,34,270,887,887,887,34,270,34,887,999,999,119,999,999,50,999,999,999,999,110,999,33,80,887,887,82.1455309731661,8,9
2403287,81,75,1-81-2024-075-02,2,1,999,999,999,38,90,93,999,262,38,90,999,999,120,118,76,49,999,64,17,8,112,999,33,81,887,887,19.0849903848337,8,9
2403617,52,38,1-52-2024-038-04,4,1,887,887,887,887,887,887,887,887,887,887,999,887,128,999,999,887,887,887,887,887,887,887,887,887,887,887,1714.96019628022,12,9
2403614,14,61,1-14-2024-061-07,7,3,887,887,887,887,887,887,887,887,887,887,887,38,887,887,887,54,999,999,887,887,887,887,887,887,887,887,3357.0434635821,8,9
2403618,81,85,1-81-2024-085-05,5,2,98,43,267,887,887,98,43,280,887,887,887,999,126,135,887,887,887,165,999,999,105,999,38,89,887,887,27.4895135360166,8,9
2403623,17,112,1-17-2024-112-09,9,1,887,887,355,887,887,887,887,355,887,887,887,64,887,887,887,887,887,887,887,887,887,8,42,94,295,178,124.444730519243,4,9
2403623,17,112,1-17-2024-112-09,9,2,887,887,887,887,887,887,887,887,887,887,39,887,133,887,887,887,887,887,887,887,105,887,887,887,887,887,124.444730519243,4,9
2403619,27,114,1-27-2024-114-03,3,1,887,887,887,887,887,887,887,279,887,887,887,887,887,887,887,887,887,887,9,22,132,887,887,887,887,887,11.8514312322575,3,9
2403619,27,114,1-27-2024-114-03,3,2,887,887,259,887,887,887,887,887,887,887,37,887,122,999,999,887,887,887,18,19,115,999,42,86,887,887,11.8514312322575,3,9
