CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EVENTNO,OBJCLASS,OBJCONT,PDOF,OCLOCK,ENDSHIFT,OVERUNDER,HEADINGANG,CDC,CDCPLANE,CDCLONGLAT,CDCVERTLAT,CDCDISTRIB,CDCEXTENT,DAMAPILLAR,DAMBPILLAR,DAMCPILLAR,DAMOTHPILLAR,SILLHEIGHT,CMAXHEIGHT,DOORSILLDIFF,DVBASIS,DVTOTAL,DVLONG,DVLAT,DVENERGY,DVSPEED,DVMOMENT,DVBARRIER,DVESTIMATE,DVRANK,DIRECTLOCATION,FIELDLLOCATION,CMAXLOCATION,FIELDL,FIELDLD,DIRECTL,DIRECTD,DIRECTWIDTH,CMAX,C1,C2,C3,C4,C5,C6,ROLLLAT,ROLLVERT,CASEWGT,PSUSTRAT,VERSION
2400240,26,3,1-26-2024-003-06,6,1,1,3,63,0,12,0,0,888,12FRWN03,F,R,W,N,03,8,8,8,8,888,888,888,12,999,999,999,9999999,999,999,999,7,2,Unknown,Unknown,RF wheel,999,999,999,999,999,999,999,999,999,999,999,999,,,855.626158255573,10,9
2400531,22,12,1-22-2024-012-09,9,1,1,1,2,0,12,0,1,85,12FYEW01,F,Y,E,W,01,8,8,8,8,888,888,888,3,20,-20,0,18776,998,0,16,0,1,"Begins 5cm right of center point, extending left",Unknown,50cm Left of Front Center Point,999,999,999,999,80,999,999,999,999,999,999,999,,,36.2059290664589,12,9
2400934,32,30,1-32-2024-030-01,1,1,1,3,63,0,12,0,0,888,12FRWN03,F,R,W,N,03,8,8,8,8,888,888,888,12,999,999,999,9999999,999,999,999,7,2,Unknown,Unknown,N/A,999,999,144,999,999,999,999,999,999,999,999,999,,,68.3257663555808,7,9
2401078,48,37,1-48-2024-037-06,6,1,1,3,47,340,11,0,0,888,11FDEW01,F,D,E,W,01,8,8,8,8,888,888,888,10,999,999,999,9999999,999,71,13,2,1,"Begins 82cm left of center point, extending right","Begins 82cm left of center point, extending right",64 cm right of center,164,0,164,0,164,9,3,1,0,0,0,9,,,157.161135633244,12,9
2401067,30,35,1-30-2024-035-05,5,2,1,1,1,320,11,1,0,5,11FYEW02,F,Y,E,W,02,8,8,8,8,888,888,888,3,42,-32,27,150346,998,101,39,0,1,"Begins 80cm left of center point, extending right","Begins 57cm left of center point, extending right",Center,114,0,160,-29,102,44,39,44,42,35,26,14,,,31.0583053089904,10,9
2400973,30,31,1-30-2024-031-02,2,1,1,1,2,330,11,1,0,270,11FLEE04,F,L,E,E,04,8,8,8,8,888,888,888,1,20,-17,10,22833,998,45,19,0,1,"Begins 50cm left of center point, extending left","Begins 60cm left of center point, extending right",46 cm left of center,120,0,160,-65,30,12,12,12,8,6,3,0,,,16.6145707079083,10,9
2400973,30,31,1-30-2024-031-02,2,2,1,1,1,60,2,0,0,355,02RFEW03,R,F,E,W,03,8,8,8,8,888,888,888,1,18,-9,-16,31476,998,-83,19,0,1,"Begins 254cm forward of rear axle, extending forward","Begins 228cm forward of rear axle, extending forward",185 cm forward of center,128,152,128,164,101,31,2,0,1,15,31,23,,,16.6145707079083,10,9
2400975,30,33,1-30-2024-033-10,10,1,3,3,41,0,12,0,0,888,12FCEN01,F,C,E,N,01,8,8,8,8,888,888,888,98,999,999,999,9999999,999,999,999,6,2,"Begins 18cm right of center point, extending right",Unknown,Unknown,999,999,999,999,20,999,999,999,999,999,999,999,,,19366.7239945855,10,9
2400975,30,33,1-30-2024-033-10,10,1,5,3,58,20,1,0,0,888,01RYES02,R,Y,E,S,02,8,8,8,8,888,888,888,8,999,999,999,9999999,999,999,999,7,1,Unknown,Unknown,Unknown,999,999,999,999,999,999,999,999,999,999,999,999,,,19366.7239945855,10,9
2401065,22,29,1-22-2024-029-07,7,2,1,1,1,20,1,0,0,90,01FREE03,F,R,E,E,03,8,8,8,8,888,888,888,3,4,-4,-1,888,998,-6,3,0,1,"Begins 74cm right of center point, extending left",Unknown,74cm Right of Front Center Point,999,999,999,999,38,999,999,999,999,999,999,999,,,113.194619429454,12,9
