CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,OCCNO,AGE,HEIGHT,WEIGHT,SEX,FETALMORT,ROLE,RACE,ETHNICITY,EYEWEAR,PARBELTUSE,PARAIRBAG,PARINJSEV,CASEWGT,PSUSTRAT,VERSION
2405348,15,204,1-15-2024-204-NM2,22,1,1,70,999,999,2,8,1,9,9,9,3,7,0,95.8031442610112,1,9
2405355,67,48,1-67-2024-048-NM2,22,1,1,37,155,54,2,8,1,1,1,0,3,2,0,466.844383438263,7,9
2405353,29,90,1-29-2024-090-NM2,22,1,1,62,157,76,2,8,1,1,2,0,8,2,0,400.603383200049,2,9
2405354,29,91,1-29-2024-091-NM2,22,1,1,31,999,999,1,8,1,9,9,9,3,2,0,400.603383200049,2,9
2405381,22,165,1-22-2024-165-NM2,22,1,1,27,999,999,2,8,1,9,9,9,8,7,0,86.2407444911639,12,9
2405444,17,180,1-17-2024-180-NM2,22,1,1,56,163,77,2,8,1,1,2,1,3,2,0,245.767819800364,4,9
2405491,22,168,1-22-2024-168-NM2,22,1,1,75,999,999,1,8,1,9,9,9,3,2,0,63.7015832881093,12,9
2405560,57,173,1-57-2024-173-NM2,22,1,1,44,999,999,2,8,1,9,9,9,9,2,0,166.164473508738,1,9
2405570,25,151,1-25-2024-151-NM2,22,1,1,67,165,64,1,8,1,1,2,0,3,2,0,362.735522403193,2,9
2405575,11,166,1-11-2024-166-NM2,22,1,1,71,999,999,1,8,1,9,9,9,3,2,0,1994.3486165726,8,9
2405595,52,55,1-52-2024-055-NM2,22,1,1,58,999,999,1,8,1,9,9,9,3,2,0,153.764846051201,12,9
2405594,27,174,1-27-2024-174-NM2,22,1,1,61,183,98,1,8,1,2,2,1,8,2,0,41.6395308351094,3,9
2405722,30,193,1-30-2024-193-NM2,22,1,1,52,999,999,1,8,1,9,9,9,3,2,0,2186.42290292287,10,9
2401453,22,45,1-22-2024-045-NM2,22,1,1,34,170,102,2,8,1,1,2,1,8,2,0,29.8393033504253,12,9
2401459,15,57,1-15-2024-057-NM2,22,1,1,61,999,999,1,8,1,9,9,9,9,7,0,62.2950385720824,1,9
2401481,77,50,1-77-2024-050-NM2,22,1,1,76,999,999,1,8,1,9,9,9,3,2,0,306.910106229355,9,9
2401487,59,47,1-59-2024-047-NM2,22,1,1,999,999,999,1,8,1,9,9,9,9,7,0,122.869992801552,6,9
2401489,59,49,1-59-2024-049-NM2,22,1,1,999,999,999,9,8,1,9,9,9,9,7,9,122.869992801552,6,9
2401535,12,28,1-12-2024-028-NM2,22,1,1,88,165,60,1,8,1,1,2,1,3,2,0,249.68170357321,9,9
2401592,28,42,1-28-2024-042-NM2,22,1,1,70,999,999,1,8,1,9,9,9,3,2,0,37.9334438090452,3,9
2401615,59,51,1-59-2024-051-NM2,22,1,1,61,185,122,1,8,1,1,2,0,3,7,0,173.711917950995,6,9
2401665,24,37,1-24-2024-037-NM2,22,1,1,26,999,999,2,8,1,9,9,9,8,2,0,87.1884768897586,1,9
2401718,21,32,1-21-2024-032-NM2,22,1,1,33,182,127,1,8,1,1,2,0,3,2,0,2513.96756463306,11,9
2404117,24,116,1-24-2024-116-NM2,22,1,1,18,999,999,1,8,1,9,9,9,3,1,0,150.695729579903,1,9
2404141,15,165,1-15-2024-165-NM2,22,1,1,37,999,999,2,8,1,9,9,9,3,7,0,26.3765495168134,1,9
2404140,15,164,1-15-2024-164-NM2,22,1,1,38,999,999,1,8,1,9,9,9,3,7,0,26.3765495179532,1,9
2404160,25,110,1-25-2024-110-NM2,22,1,1,72,178,108,1,8,1,1,2,0,3,2,0,217.706177804094,2,9
2404163,25,113,1-25-2024-113-NM2,22,1,1,31,180,79,1,8,1,3,2,0,3,2,0,217.706177804094,2,9
