CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,CONTACT,CONTACTAREA,CONTCOMP,NMNO,LONGLOC,LATLOC,CRUSH,BOTTOMOUT,BODYREGION,EVIDENCE,CONFIDENCE,CASEWGT,PSUSTRAT,VERSION
2400923,21,22,1-21-2024-022-NM1,21,1,C,6,775,1,220,-2,999,0,101,96,1,12.4076963253184,11,9
2400923,21,22,1-21-2024-022-NM1,21,1,D,2,732,1,200,-76,24,8,859,98,2,12.4076963253184,11,9
2401788,69,33,1-69-2024-033-NM1,21,1,F,5,774,1,197,60,888,8,101,2,1,7.66811372485411,8,9
2401788,69,33,1-69-2024-033-NM1,21,1,G,6,775,1,203,63,3,8,101,12,1,7.66811372485411,8,9
2401788,69,33,1-69-2024-033-NM1,21,1,I,10,61,1,888,888,888,8,999,98,1,7.66811372485411,8,9
2401788,69,33,1-69-2024-033-NM1,21,1,H,3,740,1,888,888,5,8,999,5,2,7.66811372485411,8,9
2405444,17,180,1-17-2024-180-NM2,22,1,A,10,61,1,888,888,888,8,999,98,3,245.767819800364,4,9
2405049,30,174,1-30-2024-174-NM1,21,1,A,1,700,1,999,999,999,0,852,2,2,35.2170995864478,10,9
2405049,30,174,1-30-2024-174-NM1,21,1,B,5,770,1,999,999,999,0,812,5,2,35.2170995864478,10,9
2405049,30,174,1-30-2024-174-NM1,21,1,C,6,775,1,999,999,999,0,101,2,2,35.2170995864478,10,9
2401773,33,29,1-33-2024-029-NM2,22,1,D,10,61,1,888,888,888,8,999,98,2,84.6784527844662,12,9
2404943,24,137,1-24-2024-137-NM2,22,1,A,1,718,1,999,999,999,0,999,3,1,103.775968566411,1,9
2401036,32,34,1-32-2024-034-NM1,21,1,A,10,61,1,888,888,888,8,999,98,2,15.678814367208,7,9
2405009,30,172,1-30-2024-172-NM2,22,1,A,10,61,1,888,888,888,0,999,98,1,699.896518145871,10,9
2401902,73,58,1-73-2024-058-NM1,21,1,A,6,776,1,999,999,999,9,101,3,3,34.5788324725448,3,9
2405106,27,161,1-27-2024-161-NM2,22,1,A,2,730,1,999,999,999,9,512,9,1,35.0197990231484,3,9
2401980,26,53,1-26-2024-053-NM2,22,1,A,10,61,1,888,888,888,8,999,98,2,326.204869245419,10,9
2404163,25,113,1-25-2024-113-NM2,22,1,B,10,61,1,888,888,888,8,711,98,1,217.706177804094,2,9
2402090,16,59,1-16-2024-059-NM1,21,1,I,10,61,1,888,888,888,8,999,98,2,19.3635256654646,5,9
2404970,20,120,1-20-2024-120-NM1,21,1,C,1,703,1,138,-12,0,8,999,96,3,42.5846152120555,11,9
2404160,25,110,1-25-2024-110-NM2,22,1,D,10,61,1,888,888,888,8,999,98,1,217.706177804094,2,9
2402090,16,59,1-16-2024-059-NM1,21,2,G,1,701,1,18,-5,999,9,719,2,1,19.3635256654646,5,9
2402090,16,59,1-16-2024-059-NM1,21,2,H,10,61,1,888,888,888,8,999,96,2,19.3635256654646,5,9
2404235,26,108,1-26-2024-108-NM1,21,1,A,2,720,1,187,-90,5,0,999,5,2,41.696402482386,10,9
2404235,26,108,1-26-2024-108-NM1,21,1,C,5,770,1,186,-33,0,0,999,3,2,41.696402482386,10,9
2404235,26,108,1-26-2024-108-NM1,21,1,D,6,775,1,250,39,0,0,101,12,2,41.696402482386,10,9
2404235,26,108,1-26-2024-108-NM1,21,1,E,6,775,1,252,44,0,0,999,12,2,41.696402482386,10,9
2404235,26,108,1-26-2024-108-NM1,21,1,F,10,61,1,888,888,888,8,999,98,1,41.696402482386,10,9
2405604,29,93,1-29-2024-093-NM1,21,1,D,6,775,1,235,-28,999,1,996,2,2,118.587450301321,2,9
2404235,26,108,1-26-2024-108-NM1,21,1,B,5,770,1,191,66,0,0,999,96,2,41.696402482386,10,9
2405594,27,174,1-27-2024-174-NM2,22,1,A,1,700,1,64,0,1,0,831,1,1,41.6395308351094,3,9
2405106,27,161,1-27-2024-161-NM2,22,1,B,10,61,1,888,888,888,8,999,98,1,35.0197990231484,3,9
2404100,20,107,1-20-2024-107-NM1,21,2,A,10,61,1,888,888,888,8,814,98,1,44.2957867500321,11,9
2404140,15,164,1-15-2024-164-NM2,22,1,A,10,61,1,888,888,888,8,999,98,1,26.3765495179532,1,9
2404064,73,113,1-73-2024-113-NM2,22,1,A,10,61,1,888,888,888,8,999,98,1,537.853972469241,3,9
2405394,10,107,1-10-2024-107-NM1,21,1,A,1,701,1,37,24,2,0,851,2,1,36.1764362071444,4,9
2405394,10,107,1-10-2024-107-NM1,21,1,B,1,701,1,49,34,888,0,851,2,1,36.1764362071444,4,9
2405394,10,107,1-10-2024-107-NM1,21,1,C,1,706,1,77,62,888,0,831,2,1,36.1764362071444,4,9
2405394,10,107,1-10-2024-107-NM1,21,1,D,5,770,1,130,44,4,1,511,5,1,36.1764362071444,4,9
2400079,59,5,1-59-2024-005-NM2,22,1,A,1,700,1,34,13,888,0,871,9,1,326.257763636632,6,9
2400630,69,11,1-69-2024-011-NM1,21,1,A,1,703,1,68,27,4,0,821,5,3,7.66811372485411,8,9
2400630,69,11,1-69-2024-011-NM1,21,1,B,6,775,1,210,38,3,0,601,12,3,7.66811372485411,8,9
2400630,69,11,1-69-2024-011-NM1,21,1,C,6,776,1,283,41,3,0,711,5,1,7.66811372485411,8,9
2400581,30,18,1-30-2024-018-NM1,21,1,A,1,702,1,50,-37,1,0,852,2,1,28.3509494483113,10,9
2400581,30,18,1-30-2024-018-NM1,21,1,B,1,700,1,73,-32,2,0,842,2,1,28.3509494483113,10,9
2400581,30,18,1-30-2024-018-NM1,21,1,C,1,703,1,93,-22,5,1,812,2,1,28.3509494483113,10,9
2400581,30,18,1-30-2024-018-NM1,21,1,D,5,770,1,135,-22,12,1,812,1,1,28.3509494483113,10,9
2400581,30,18,1-30-2024-018-NM1,21,1,E,6,775,1,235,-8,15,0,101,96,1,28.3509494483113,10,9
2400581,30,18,1-30-2024-018-NM1,21,1,F,6,776,1,272,-10,1,0,749,1,1,28.3509494483113,10,9
2400581,30,18,1-30-2024-018-NM1,21,1,G,6,776,1,272,13,1,0,749,1,1,28.3509494483113,10,9
