CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,WHEELBASE,OAL,MAXWIDTH,CURBWT,TRACKWIDTH,OVERHANG_FRT,OVERHANG_REAR,UEW,ENG_CYL,ENG_DISP,TRANSMISSION,DRVWHEELS,ALTVEH,SUSPMODS,WEIGHTDIST,CASEWGT,PSUSTRAT,VERSION
2402476,16,74,1-16-2024-074-03,3,1,270,455,184,1659,160,96,91,158,4,2.5,2,1,0,0,57,168.955904269261,5,9
2402476,16,74,1-16-2024-074-03,3,2,273,455,190,1313,157,93,89,160,4,2.0,2,1,0,0,61,168.955904269261,5,9
2401806,16,50,1-16-2024-050-10,10,2,270,453,185,1973,156,78,105,154,6,4.0,2,3,0,0,56,14369.5040655811,5,9
2402724,16,81,1-16-2024-081-03,3,3,273,465,184,1572,158,95,98,156,4,1.5,2,4,0,0,57,480.495209180413,5,9
2403217,16,95,1-16-2024-095-03,3,1,257,424,181,1372,154,88,81,150,4,2.4,2,1,0,0,60,372.754488481683,5,9
2402862,16,83,1-16-2024-083-04,4,1,271,464,182,1385,160,91,102,150,4,2.0,2,1,0,0,61,1577.7484344678,5,9
2402862,16,83,1-16-2024-083-04,4,2,289,481,183,2009,155,999,999,999,8,4.6,2,4,9,0,99,1577.7484344678,5,9
2402212,16,62,1-16-2024-062-04,4,1,305,504,191,1934,162,89,110,160,8,5.7,2,2,0,0,56,695.536686507108,5,9
2402724,16,81,1-16-2024-081-03,3,1,273,483,183,1490,156,101,110,150,4,2.5,2,1,0,1,60,480.495209180413,5,9
2402724,16,81,1-16-2024-081-03,3,2,365,573,203,2394,174,100,108,164,8,5.3,2,3,0,1,58,480.495209180413,5,9
2402982,16,89,1-16-2024-089-03,3,1,260,411,179,1500,155,76,74,154,4,1.6,1,1,0,0,58,114.216869220851,5,9
2401556,16,46,1-16-2024-046-07,7,1,265,453,183,1340,154,89,99,146,4,2.0,2,1,0,0,60,3239.15555206761,5,9
2401556,16,46,1-16-2024-046-07,7,2,307,519,200,2132,171,102,111,170,6,3.6,2,4,0,0,58,3239.15555206761,5,9
2402733,16,79,1-16-2024-079-04,4,1,267,448,186,1696,161,91,90,150,4,2.4,2,4,0,0,59,1922.69451733979,5,9
2402733,16,79,1-16-2024-079-04,4,2,283,489,183,1495,158,98,109,154,4,2.5,2,1,0,0,60,1922.69451733979,5,9
2402541,16,77,1-16-2024-077-02,2,1,270,464,176,1315,152,94,100,148,4,2.0,2,1,0,0,61,15.1092509057653,5,9
2401808,16,52,1-16-2024-052-05,5,1,295,513,197,2588,171,100,118,166,8,5.3,2,3,0,1,51,17.1930300888655,5,9
2401808,16,52,1-16-2024-052-05,5,2,260,415,170,1114,148,84,71,138,4,1.6,2,1,0,0,60,17.1930300888655,5,9
2406345,16,133,1-16-2024-133-02,2,1,252,442,174,1292,151,89,102,150,4,1.4,2,1,0,1,62,18.8490264824169,5,9
2401024,16,30,1-16-2024-030-09,9,1,303,510,196,1880,168,98,108,164,6,3.3,2,1,0,0,58,1561.49805500175,5,9
2401024,16,30,1-16-2024-030-09,9,2,272,481,179,1375,155,101,110,156,4,2.2,2,1,0,0,62,1561.49805500175,5,9
2401942,16,54,1-16-2024-054-03,3,1,260,454,176,1255,152,94,100,148,4,1.8,2,1,0,0,60,181.223141575247,5,9
2401942,16,54,1-16-2024-054-03,3,2,265,465,184,1485,158,95,98,158,4,1.5,2,1,0,0,58,181.223141575247,5,9
2402091,16,60,1-16-2024-060-03,3,2,301,462,188,2018,160,74,87,180,6,3.6,2,3,0,1,52,493.068595429479,5,9
2402091,16,60,1-16-2024-060-03,3,3,330,553,207,2320,174,102,120,999,6,3.5,2,2,9,0,51,493.068595429479,5,9
2402091,16,60,1-16-2024-060-03,3,1,277,481,182,1550,158,96,108,148,4,2.5,2,1,0,0,62,493.068595429479,5,9
2401673,16,47,1-16-2024-047-03,3,2,285,508,187,1618,159,108,116,154,6,3.8,2,1,0,0,62,434.848487710843,5,9
2402343,16,68,1-16-2024-068-04,4,1,289,504,200,2148,172,104,111,164,4,2.0,2,4,0,0,58,771.44724650232,5,9
2402343,16,68,1-16-2024-068-04,4,2,299,506,197,2240,169,98,109,170,6,3.0,2,4,0,0,50,771.44724650232,5,9
2400216,16,6,1-16-2024-006-02,2,1,311,533,203,2551,172,97,127,164,6,3.5,2,3,0,1,50,15.1092509057653,5,9
2400348,16,9,1-16-2024-009-01,1,3,266,456,185,1600,157,90,100,999,4,2.5,2,4,0,0,58,15.8174891263142,5,9
2401716,16,49,1-16-2024-049-04,4,1,270,455,184,1559,160,96,91,150,4,2.5,2,1,0,0,59,1740.03983223416,5,9
2402981,16,88,1-16-2024-088-06,6,1,270,461,186,1797,157,98,93,156,4,2.4,2,3,0,1,57,423.092773126644,5,9
2402981,16,88,1-16-2024-088-06,6,2,278,495,185,1594,158,100,116,154,4,2.0,2,1,9,0,62,423.092773126644,5,9
2404593,16,116,1-16-2024-116-02,2,1,304,508,193,2418,163,86,118,156,8,5.7,2,4,0,0,56,19.2002472242785,5,9
2400619,16,21,1-16-2024-021-NM1,21,1,268,461,180,1407,154,97,96,999,4,1.4,2,1,0,0,61,61.8147074429554,5,9
2406272,16,131,1-16-2024-131-03,3,1,264,441,181,1463,156,91,87,150,3,1.3,2,4,0,0,60,132.869057626833,5,9
2404292,57,115,1-57-2024-115-01,1,1,246,383,170,1050,147,76,62,130,4,1.5,2,1,0,1,60,57.1661146630177,1,9
2404292,57,115,1-57-2024-115-01,1,2,270,464,178,1265,152,97,98,135,4,1.8,2,1,0,0,61,57.1661146630177,1,9
2403024,81,64,1-81-2024-064-03,3,1,269,472,181,1463,154,91,112,170,4,2.0,2,1,0,0,59,500.867923811082,8,9
2403365,31,70,1-31-2024-070-09,9,1,272,484,176,1384,151,101,112,144,6,3.1,2,1,0,0,64,161.39423315543,6,9
2403614,14,61,1-14-2024-061-07,7,1,269,457,179,1273,152,94,95,999,6,3.5,9,1,9,0,62,3357.0434635821,8,9
2403614,14,61,1-14-2024-061-07,7,2,305,504,191,1996,163,89,110,999,8,6.4,9,2,9,0,56,3357.0434635821,8,9
