CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,BAGNO,BAGLOCATION,BAGSTATUS,BAGTYPE,BAGDEPLOY,BAGMALFUNCTION,BAGFLAPSOPEN,BAGFLAPSDAM,BAGDAMAGE,BAGDAMSOURCE,PREVCRASH,PRIORMAINT,DEPLOYEVENT,BAGDVTOTAL,BAGDVLONG,BAGDVLAT,BAGDVENERGY,BAGDVSPEED,BAGDVBES,BAGDVEST,BAGDVRANK,CDCFORDEPLOY,CASEWGT,PSUSTRAT,VERSION
2400031,48,3,1-48-2024-003-03,3,2,1,1,1,99,1,0,1,0,0,50,9,9,2,28,-28,-5,72371,998,28,0,1,1,54.9604072040948,12,9
2400031,48,3,1-48-2024-003-03,3,2,2,2,1,99,1,0,1,0,0,50,9,9,2,28,-28,-5,72371,998,28,0,1,1,54.9604072040948,12,9
2400031,48,3,1-48-2024-003-03,3,2,3,4,1,99,1,0,1,0,0,50,9,9,2,28,-28,-5,72371,998,28,0,1,1,54.9604072040948,12,9
2400031,48,3,1-48-2024-003-03,3,2,4,4,1,99,1,0,1,0,0,50,9,9,2,28,-28,-5,72371,998,28,0,1,1,54.9604072040948,12,9
2400031,48,3,1-48-2024-003-03,3,2,5,5,1,99,1,0,1,0,0,50,9,9,2,28,-28,-5,72371,998,28,0,1,1,54.9604072040948,12,9
2400031,48,3,1-48-2024-003-03,3,2,6,5,1,99,1,0,1,0,0,50,9,9,2,28,-28,-5,72371,998,28,0,1,1,54.9604072040948,12,9
2400031,48,3,1-48-2024-003-03,3,2,7,8,1,99,1,0,1,0,0,50,9,9,2,28,-28,-5,72371,998,28,0,1,1,54.9604072040948,12,9
2400031,48,3,1-48-2024-003-03,3,2,8,8,1,99,1,0,1,0,0,50,9,9,2,28,-28,-5,72371,998,28,0,1,1,54.9604072040948,12,9
2400032,19,1,1-19-2024-001-04,4,2,1,1,1,1,7,0,60,60,60,60,1,1,60,,,,,,,,,60,686.171980556767,9,9
2400032,19,1,1-19-2024-001-04,4,2,2,5,1,1,7,0,60,60,60,60,1,1,60,,,,,,,,,60,686.171980556767,9,9
2400032,19,1,1-19-2024-001-04,4,2,3,8,1,1,7,0,60,60,60,60,1,1,60,,,,,,,,,60,686.171980556767,9,9
2400032,19,1,1-19-2024-001-04,4,2,4,2,1,1,7,0,60,60,60,60,,,,,,,,,,,,,686.171980556767,9,9
