CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EDRSUMMNO,NUMEVENTS,CDRVERCOLL,CDRVERREPT,MODTYPE,IGCYCDOWN,CASEWGT,PSUSTRAT,VERSION
2403749,15,149,1-15-2024-149-03,3,1,1,1,E-N-H-01-00-0062,EDR001-R01,1,1333,17.1071163846097,1,9
2403760,22,116,1-22-2024-116-06,6,1,1,0,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,15331,32.5176317005135,12,9
2403748,15,148,1-15-2024-148-08,8,1,1,1,Crash Data Retrieval Tool 23.3,Crash Data Retrieval Tool 24.3.648,1,1889,24.1312824272688,1,9
2403752,27,119,1-27-2024-119-03,3,1,1,3,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,785,32.3914110115022,3,9
2403762,25,99,1-25-2024-099-03,3,1,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,4725,75.1415122343651,2,9
2403703,20,99,1-20-2024-099-06,6,1,1,2,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,27678,580.152344302802,11,9
2403763,22,117,1-22-2024-117-09,9,2,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,20869,97.7343067247537,12,9
2403765,30,132,1-30-2024-132-04,4,2,1,2,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,999997,2001.81661988202,10,9
2403751,27,118,1-27-2024-118-06,6,1,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,3505,109.415291537184,3,9
2403770,29,42,1-29-2024-042-07,7,2,1,1,Crash Data Retrieval Tool 23.4.1,Crash Data Retrieval Tool 24.3.648,1,9810,14223.1686392727,2,9
2403708,11,111,1-11-2024-111-03,3,1,1,2,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,10132,58.7493642784988,8,9
2403709,11,112,1-11-2024-112-02,2,2,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,6753,30.7614595081659,8,9
2403769,11,113,1-11-2024-113-10,10,2,1,2,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,999997,7925.92300893548,8,9
2403774,59,116,1-59-2024-116-03,3,1,1,2,Crash Data Retrieval Tool 24.1.197,Crash Data Retrieval Tool 24.3.648,1,3650,97.324661127755,6,9
2403775,59,117,1-59-2024-117-04,4,1,1,1,Crash Data Retrieval Tool 24.1.197,Crash Data Retrieval Tool 24.3.648,1,4113,568.619671044969,6,9
2403771,81,90,1-81-2024-090-02,2,1,1,10,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,3526,26.3649807190026,8,9
2403779,77,127,1-77-2024-127-03,3,2,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,5331,673.926895573774,9,9
2403780,10,63,1-10-2024-063-03,3,1,1,1,Crash Data Retrieval Tool 23.4.1,Crash Data Retrieval Tool 24.3.648,1,19122,1732.95029492939,4,9
2403829,26,104,1-26-2024-104-02,2,3,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,47900,58.2516012726861,10,9
2403806,30,134,1-30-2024-134-02,2,2,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,7163,16.6145707079083,10,9
2403833,22,118,1-22-2024-118-04,4,1,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,6110,63.7412272058456,12,9
2403830,15,152,1-15-2024-152-07,7,1,1,1,Crash Data Retrieval Tool 24.1.197,Crash Data Retrieval Tool 24.3.648,1,10083,2421.01034052253,1,9
2403838,77,128,1-77-2024-128-03,3,1,1,0,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,1054,673.926895573774,9,9
2403835,29,43,1-29-2024-043-06,6,1,1,1,Crash Data Retrieval Tool 23.4.1,Crash Data Retrieval Tool 24.3.648,1,15115,280.671944583498,2,9
2403837,29,45,1-29-2024-045-03,3,2,1,3,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,5028,90.2007455037807,2,9
2403841,73,107,1-73-2024-107-03,3,1,1,1,Crash Data Retrieval Tool 23.3,Crash Data Retrieval Tool 24.3.648,1,3682,42.1544764951439,3,9
2403842,82,99,1-82-2024-099-03,3,1,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,5230,165.718700862782,1,9
