CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EDRSUMMNO,EDREVENTNO,LFBELT,LF1STAGEDEP,LF2STAGEDEP,LFSWITCH,LFDISPOSAL,LFSIDEDEPTIME,LFCURTDEPTIME,LFPRETENDEPTIME,LFRETRACTDEPTIME,LFBUCKDEPTIME,LFTRACKPOS,LFOCCSIZE,LFOCCPOS,RFBELT,RF1STAGEDEP,RF2STAGEDEP,RFSWITCH,RFDISPOSAL,RFSIDEDEPTIME,RFCURTDEPTIME,RFPRETENDEPTIME,RFRETRACTDEPTIME,RFBUCKDEPTIME,RFTRACKPOS,RFOCCSIZE,RFOCCPOS,CASEWGT,PSUSTRAT,VERSION
2403416,81,80,1-81-2024-080-06,6,2,1,1,1,30.00,32.00,7,8,9995.00,32.00,3.00,3.00,3.00,7,7,7,0,9995.00,9995.00,1,8,9995.00,32.00,3.00,3.00,3.00,7,0,7,2683.6912169643,8,9
2405025,10,96,1-10-2024-096-05,5,1,1,1,1,20.00,40.00,7,8,9995.00,9995.00,9997.00,9999.00,9994.00,0,7,7,1,20.00,120.00,7,8,9995.00,9994.00,9997.00,9999.00,9994.00,0,4,7,75.3748060493564,4,9
2402549,60,29,1-60-2024-029-03,3,1,1,1,1,1058.00,1061.00,7,0,1869.00,1869.00,1058.00,1100.00,8888.00,8,8,7,0,9995.00,9995.00,7,6,1147.00,1147.00,1058.00,8888.00,8888.00,8,4,7,470.926036174307,8,9
2404936,69,115,1-69-2024-115-04,4,2,1,1,1,20.00,22.00,7,8,9997.00,22.00,20.00,26.00,20.00,7,7,7,0,9997.00,9997.00,1,8,9997.00,22.00,20.00,26.00,20.00,7,4,7,104.112066997676,8,9
2402662,77,88,1-77-2024-088-08,8,1,1,1,1,110.50,260.50,7,8,9997.00,9997.00,110.50,110.50,9997.00,1,7,7,0,110.50,115.50,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,7,5,7,298.453823036908,9,9
2403851,62,108,1-62-2024-108-03,3,2,1,1,1,9995.00,9995.00,7,8,9997.00,9997.00,9995.00,9997.00,9997.00,1,7,7,1,9995.00,9995.00,7,8,9997.00,9997.00,9995.00,9997.00,9997.00,7,3,7,533.882324409124,7,9
2405513,62,165,1-62-2024-165-02,2,2,1,1,1,24.00,34.00,7,0,26.00,26.00,5.00,9997.00,9997.00,0,7,7,0,0.00,0.00,1,0,0.00,0.00,0.00,9997.00,9997.00,7,7,7,40.5230025519482,7,9
2404439,66,90,1-66-2024-090-03,3,2,1,1,1,9995.00,9995.00,7,8,9995.00,9995.00,51.00,59.00,51.00,7,7,7,1,9995.00,9995.00,0,8,9995.00,9995.00,51.00,59.00,51.00,7,5,7,90.2108501600037,6,9
2404290,67,31,1-67-2024-031-05,5,1,1,1,0,9995.00,9995.00,7,8,9995.00,9995.00,9995.00,9995.00,9995.00,0,7,7,0,9995.00,9995.00,0,8,9995.00,9995.00,9995.00,9995.00,9995.00,7,5,7,70.7745535355824,7,9
2405627,59,165,1-59-2024-165-04,4,1,1,1,1,35.00,235.00,7,1,9995.00,9995.00,22.00,9997.00,9997.00,0,7,7,1,35.00,235.00,7,8,9995.00,9995.00,22.00,9997.00,9997.00,0,3,7,595.613904573489,6,9
2406125,59,184,1-59-2024-184-06,6,2,1,1,1,9995.00,9995.00,7,8,9995.00,9995.00,9995.00,9995.00,9995.00,7,7,7,1,9995.00,9995.00,0,8,9995.00,9995.00,9995.00,9995.00,9995.00,7,5,7,152.175710276001,6,9
2403053,48,102,1-48-2024-102-05,5,1,1,1,1,0.00,0.00,7,0,10.00,10.00,10.00,10.00,9997.00,0,7,7,0,0.00,0.00,1,0,0.00,0.00,0.00,0.00,9997.00,7,7,7,80.9035530796695,12,9
2405612,29,95,1-29-2024-095-04,4,1,1,1,1,28.00,58.00,7,8,9995.00,9995.00,9994.00,9999.00,9994.00,0,7,7,1,28.00,43.00,7,8,9995.00,9995.00,9994.00,9999.00,9994.00,7,7,7,1186.81687143117,2,9
2401524,30,53,1-30-2024-053-06,6,1,1,1,1,253.00,9995.00,7,8,9995.00,9995.00,253.00,253.00,253.00,7,7,7,1,253.00,9995.00,0,8,9995.00,9995.00,253.00,253.00,253.00,7,5,7,776.773510770729,10,9
2400749,27,25,1-27-2024-025-06,6,1,1,4,1,9997.00,9997.00,7,8,9995.00,9995.00,9995.00,9997.00,9997.00,7,7,7,0,9997.00,9997.00,7,8,9995.00,9995.00,9995.00,9997.00,9997.00,7,4,7,20.2078569673904,3,9
2403288,81,76,1-81-2024-076-08,8,1,1,4,7,9995.00,9995.00,7,8,9997.00,9997.00,9995.00,9997.00,9997.00,7,7,7,7,9995.00,9995.00,7,8,9997.00,9997.00,9995.00,9997.00,9997.00,7,7,7,465.60520980179,8,9
2406262,20,148,1-20-2024-148-03,3,2,1,4,1,9995.00,9997.00,7,8,9997.00,9995.00,9995.00,9997.00,9997.00,0,7,7,1,9995.00,9995.00,0,8,9997.00,9995.00,9995.00,9997.00,9997.00,0,5,7,117.724388691886,11,9
2405308,57,163,1-57-2024-163-06,6,1,1,4,1,9995.00,9995.00,7,8,9995.00,9995.00,9995.00,9997.00,9997.00,0,7,7,1,9995.00,9995.00,7,8,9995.00,9995.00,9995.00,9997.00,9997.00,7,2,7,296.521375709091,1,9
