CASEID,PSU,CASENO,CASENUMBER,CATEGORY,NMNO,TRAJCLASS,TRAJTYPE,TRAJCONF,EVIDSPEED,EVIDBRAKE,EVIDSTEERING,EVIDFRP,EVIDSTATURE,EVIDVEHPROFILE,EVIDCORNER,EVIDINITORIENT,EVIDAVOID,EVIDVIDEO,EVIDWITNESS,EVIDEXPERIMENT,EVIDSIM,EVIDOTHER,CASEWGT,PSUSTRAT,VERSION
2401755,81,34,1-81-2024-034-NM1,21,1,1,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,46.909790827141,8,9
2401755,81,34,1-81-2024-034-NM1,21,1,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.909790827141,8,9
2404658,81,117,1-81-2024-117-NM1,21,1,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.5893987350207,8,9
2400630,69,11,1-69-2024-011-NM1,21,1,1,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,7.66811372485411,8,9
2400630,69,11,1-69-2024-011-NM1,21,1,2,4,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.66811372485411,8,9
2405551,33,106,1-33-2024-106-NM1,21,1,1,1,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,41.0900179301514,12,9
2405551,33,106,1-33-2024-106-NM1,21,1,2,4,3,1,0,0,0,0,1,0,0,0,0,0,0,0,1,41.0900179301514,12,9
2402989,32,104,1-32-2024-104-NM1,21,1,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11.6164138708606,7,9
2402989,32,104,1-32-2024-104-NM1,21,1,2,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11.6164138708606,7,9
2402256,21,45,1-21-2024-045-NM1,21,1,1,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17.4486412062215,11,9
2402256,21,45,1-21-2024-045-NM1,21,1,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.4486412062215,11,9
2404764,33,92,1-33-2024-092-NM2,22,1,1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,355.828360472917,12,9
2404764,33,92,1-33-2024-092-NM2,22,1,2,7,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,355.828360472917,12,9
2405846,15,225,1-15-2024-225-NM2,22,1,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.8783964598429,1,9
2401615,59,51,1-59-2024-051-NM2,22,1,1,7,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,173.711917950995,6,9
2401615,59,51,1-59-2024-051-NM2,22,1,2,2,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,173.711917950995,6,9
2405353,29,90,1-29-2024-090-NM2,22,1,1,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,400.603383200049,2,9
