CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,TIRELOC,TIREMANUF,TIREMODEL,TIRESIZE,TIRETIN,TIRETREAD,TIRERESTR,TIRESIZETYPE,CASEWGT,PSUSTRAT,VERSION
2406381,73,159,1-73-2024-159-07,7,1,LF,66,Altimax RT,P215/55R17,2660FBHHM4122,3,0,1,115.069299396888,3,9
2403481,60,41,1-60-2024-041-04,4,2,LR,66,Reliatrek,P205/65R16,6G3P WJ8D,2,0,1,578.853294034117,8,9
2401366,13,38,1-13-2024-038-07,7,1,LF,89,majesty 9 solus,P235/50R18,1H2WVYCJ91223,7,0,1,4101.1572958259,7,9
2404661,77,151,1-77-2024-151-08,8,2,LF,999,Unknown,UNKNOWN,9999999999999,99,9,9,127.766802759098,9,9
2404661,77,151,1-77-2024-151-08,8,1,LF,999,Unknown,UNKNOWN,9999999999999,99,9,9,127.766802759098,9,9
2401761,17,57,1-17-2024-057-05,5,1,LF,66,Altimax,P215/60R16,P55M WBKW4218,2,0,1,95.9334331296951,4,9
2402007,21,40,1-21-2024-040-01,1,2,RF,999,TBB Tires,P215/55R17,9999999999999,5,1,1,24.9428514164702,11,9
2401620,23,24,1-23-2024-024-03,3,1,LF,999,Unknown,UNKNOWN,9999999999999,99,0,9,140.549541808304,5,9
2401620,23,24,1-23-2024-024-03,3,1,RF,999,Unknown,UNKNOWN,9999999999999,99,9,9,140.549541808304,5,9
2401620,23,24,1-23-2024-024-03,3,1,LR,999,Unknown,UNKNOWN,9999999999999,99,0,9,140.549541808304,5,9
2401620,23,24,1-23-2024-024-03,3,1,RR,999,Unknown,UNKNOWN,9999999999999,99,0,9,140.549541808304,5,9
2401620,23,24,1-23-2024-024-03,3,2,LF,999,Unknown,UNKNOWN,9999999999999,99,0,9,140.549541808304,5,9
2401620,23,24,1-23-2024-024-03,3,2,RF,999,Unknown,UNKNOWN,9999999999999,99,0,9,140.549541808304,5,9
2401620,23,24,1-23-2024-024-03,3,2,LR,999,Unknown,UNKNOWN,9999999999999,99,0,9,140.549541808304,5,9
2401620,23,24,1-23-2024-024-03,3,2,RR,999,Unknown,UNKNOWN,9999999999999,99,0,9,140.549541808304,5,9
2402161,62,56,1-62-2024-056-NM1,21,1,LF,66,Altimax RT43,P175/65R15,P5Tw WBYy,99,0,1,60.6701620601723,7,9
