CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,VEHFACTORTYPE,VEHFACTOR,CASEWGT,PSUSTRAT,VERSION
2404887,17,158,1-17-2024-158-NM2,22,1,1,1005,62.2469031035836,4,9
2405218,28,164,1-28-2024-164-NM2,22,1,1,1002,142.962485684357,3,9
2404890,30,167,1-30-2024-167-NM2,22,1,1,1006,814.767720370494,10,9
2404890,30,167,1-30-2024-167-NM2,22,1,1,1005,814.767720370494,10,9
2400048,60,1,1-60-2024-001-NM2,22,1,1,1098,157.912873387776,8,9
2400118,69,3,1-69-2024-003-NM1,21,1,1,1001,7.66811372485411,8,9
2400079,59,5,1-59-2024-005-NM2,22,1,1,1098,326.257763636632,6,9
2400052,27,1,1-27-2024-001-NM1,21,1,1,1003,20.5862279366663,3,9
2400625,60,9,1-60-2024-009-NM1,21,1,1,1001,140.53984277194,8,9
2400048,60,1,1-60-2024-001-NM2,22,1,1,1012,157.912873387776,8,9
2400048,60,1,1-60-2024-001-NM2,22,1,1,1004,157.912873387776,8,9
2400448,82,13,1-82-2024-013-NM2,22,1,1,1002,387.535062825824,1,9
2400846,82,22,1-82-2024-022-NM2,22,1,1,1002,774.715121583303,1,9
2400693,77,22,1-77-2024-022-NM2,22,1,1,1006,426.24158292944,9,9
2400693,77,22,1-77-2024-022-NM2,22,1,1,1004,426.24158292944,9,9
2400470,30,16,1-30-2024-016-NM2,22,1,1,1001,614.931666902505,10,9
2400684,59,25,1-59-2024-025-NM2,22,1,1,1012,264.2527724963,6,9
2400684,59,25,1-59-2024-025-NM2,22,1,1,1006,264.2527724963,6,9
2401206,31,25,1-31-2024-025-NM2,22,1,1,1006,197.377933176122,6,9
2401146,20,28,1-20-2024-028-NM1,21,1,1,1002,43.971490849978,11,9
2401297,27,43,1-27-2024-043-NM1,21,1,1,1005,20.2398432682456,3,9
2400683,59,24,1-59-2024-024-NM1,21,1,1,1006,62.3822922049643,6,9
2400112,28,2,1-28-2024-002-NM2,22,1,1,1003,55.8454658150129,3,9
2401085,77,38,1-77-2024-038-NM2,22,1,1,1005,297.636915073691,9,9
2401085,77,38,1-77-2024-038-NM2,22,1,1,1004,297.636915073691,9,9
2401198,13,30,1-13-2024-030-NM2,22,1,1,1014,1161.47481366351,7,9
2400619,16,21,1-16-2024-021-NM1,21,1,1,1004,61.8147074429554,5,9
2400684,59,25,1-59-2024-025-NM2,22,1,1,1004,264.2527724963,6,9
2401042,52,13,1-52-2024-013-NM1,21,1,1,1098,20.9023614233441,12,9
2401793,20,53,1-20-2024-053-NM2,22,1,1,1005,172.732860679058,11,9
2401842,22,56,1-22-2024-056-NM2,22,1,1,1098,24.4305122731702,12,9
2401339,59,43,1-59-2024-043-NM2,22,1,1,1002,260.431399312795,6,9
2400448,82,13,1-82-2024-013-NM2,22,1,1,1007,387.535062825824,1,9
2402228,27,70,1-27-2024-070-NM2,22,1,1,1004,30.6673615919684,3,9
2402228,27,70,1-27-2024-070-NM2,22,1,1,1005,30.6673615919684,3,9
2402288,81,46,1-81-2024-046-NM2,22,1,1,1003,2408.08347527868,8,9
2402080,11,53,1-11-2024-053-NM1,21,1,1,1007,37.1071357763572,8,9
2401206,31,25,1-31-2024-025-NM2,22,1,1,1014,197.377933176122,6,9
2402090,16,59,1-16-2024-059-NM1,21,1,1,1001,19.3635256654646,5,9
2402420,48,79,1-48-2024-079-NM1,21,1,1,1007,85.8427679861707,12,9
2402090,16,59,1-16-2024-059-NM1,21,2,1,1001,19.3635256654646,5,9
2400447,67,5,1-67-2024-005-NM2,22,1,1,1001,483.798087598719,7,9
2400447,67,5,1-67-2024-005-NM2,22,1,1,1006,483.798087598719,7,9
2402376,15,92,1-15-2024-092-NM2,22,1,1,1007,172.627983004139,1,9
2402083,24,50,1-24-2024-050-NM1,21,1,1,1007,23.1726143074507,1,9
2402256,21,45,1-21-2024-045-NM1,21,1,1,1006,17.4486412062215,11,9
2402256,21,45,1-21-2024-045-NM1,21,1,1,1002,17.4486412062215,11,9
2402148,59,67,1-59-2024-067-NM1,21,1,1,1005,62.3822922049643,6,9
2402148,59,67,1-59-2024-067-NM1,21,1,1,1007,62.3822922049643,6,9
2402195,79,44,1-79-2024-044-NM2,22,1,1,1003,110.555038236303,8,9
2400825,10,13,1-10-2024-013-NM1,21,1,1,1006,60.5767032793963,4,9
2400662,26,13,1-26-2024-013-NM2,22,1,1,1011,1176.30815772609,10,9
2402702,20,77,1-20-2024-077-NM2,22,1,1,1002,87.941289186377,11,9
2401750,57,33,1-57-2024-033-NM1,21,1,1,1006,38.5305215581579,1,9
2401453,22,45,1-22-2024-045-NM2,22,1,1,1005,29.8393033504253,12,9
2402638,82,63,1-82-2024-063-NM2,22,1,1,1007,317.115950685831,1,9
2402956,12,50,1-12-2024-050-NM2,22,1,1,1005,639.059715073345,9,9
2402755,26,80,1-26-2024-080-NM1,21,1,1,1003,25.7030205312635,10,9
2403102,16,93,1-16-2024-093-NM2,22,1,1,1007,346.176563309069,5,9
2402767,27,90,1-27-2024-090-NM2,22,1,1,1007,33.2945661482558,3,9
2400831,77,28,1-77-2024-028-NM2,22,1,1,1003,330.223105550016,9,9
2404890,30,167,1-30-2024-167-NM2,22,1,1,1004,814.767720370494,10,9
2404933,33,96,1-33-2024-096-NM2,22,1,1,1002,151.096542186302,12,9
2405355,67,48,1-67-2024-048-NM2,22,1,1,1006,466.844383438263,7,9
2401339,59,43,1-59-2024-043-NM2,22,1,1,1004,260.431399312795,6,9
2404482,82,121,1-82-2024-121-NM2,22,1,1,1007,375.053029592921,1,9
2405242,17,171,1-17-2024-171-NM2,22,1,1,1014,85.8489914277837,4,9
2401615,59,51,1-59-2024-051-NM2,22,1,1,1004,173.711917950995,6,9
2404141,15,165,1-15-2024-165-NM2,22,1,1,1002,26.3765495168134,1,9
2404943,24,137,1-24-2024-137-NM2,22,1,1,1005,103.775968566411,1,9
2405106,27,161,1-27-2024-161-NM2,22,1,1,1006,35.0197990231484,3,9
2401980,26,53,1-26-2024-053-NM2,22,1,1,1005,326.204869245419,10,9
2405120,22,154,1-22-2024-154-NM2,22,1,1,1006,64.1408737687855,12,9
2405049,30,174,1-30-2024-174-NM1,21,1,1,1004,35.2170995864478,10,9
2405570,25,151,1-25-2024-151-NM2,22,1,1,1007,362.735522403193,2,9
2405570,25,151,1-25-2024-151-NM2,22,1,1,1002,362.735522403193,2,9
2404202,52,45,1-52-2024-045-NM1,21,1,1,1003,23.3488363699868,12,9
2405303,30,179,1-30-2024-179-NM2,22,1,1,1004,503.501583789456,10,9
